iter	Passed	Remaining
477	2066	2257
478	2070	2252
479	2074	2246
480	2078	2242
481	2082	2237
482	2085	2232
483	2089	2227
484	2094	2223
485	2098	2218
486	2101	2213
487	2105	2209
488	2109	2204
489	2113	2199
490	2117	2194
491	2121	2190
492	2125	2185
493	2128	2180
494	2132	2175
495	2136	2170
496	2140	2166
497	2144	2161
498	2148	2156
499	2152	2152
500	2155	2147
501	2159	2142
502	2163	2138
503	2167	2133
504	2171	2128
505	2174	2123
506	2178	2118
507	2182	2113
508	2186	2108
509	2190	2104
510	2194	2099
511	2197	2094
512	2201	2089
513	2205	2085
514	2209	2080
515	2213	2076
516	2217	2071
517	2220	2066
518	2225	2062
519	2229	2058
520	2233	2053
521	2237	2048
522	2241	2044
523	2246	2040
524	2250	2036
525	2255	2032
526	2260	2028
527	2263	2023
528	2267	2019
529	2272	2014
530	2276	2010
531	2279	2005
532	2283	2000
533	2288	1996
534	2292	1992
535	2296	1988
536	2301	1984
537	2306	1980
538	2309	1975
539	2313	1970
540	2317	1965
541	2321	1961
542	2324	1956
543	2329	1952
544	2333	1947
545	2337	1944
546	2341	1939
547	2344	1934
548	2348	1929
549	2351	1924
550	2355	1919
551	2359	1915
552	2363	1910
553	2367	1905
554	2371	1901
555	2375	1896
556	2378	1892
557	2382	1887
558	2387	1883
559	2390	1878
560	2394	1873
561	2399	1870
562	2404	1866
563	2408	1861
564	2412	1857
565	2417	1853
566	2420	1848
567	2424	1843
568	2427	1838
569	2431	1834
570	2435	1829
571	2439	1825
572	2443	1820
573	2450	1818
574	2454	1814
575	2458	1809
576	2463	1806
577	2469	1802
578	2472	1797
579	2476	1793
580	2480	1788
581	2483	1783
582	2489	1780
583	2493	1776
584	2497	1771
585	2501	1766
586	2504	1762
587	2508	1757
588	2511	1752
589	2515	1748
590	2519	1743
591	2523	1739
592	2527	1734
593	2531	1730
594	2535	1725
595	2538	1720
596	2542	1716
597	2546	1711
598	2550	1707
599	2554	1702
600	2558	1698
601	2562	1694
602	2566	1690
603	2570	1685
604	2575	1681
605	2579	1677
606	2583	1672
607	2586	1667
608	2590	1663
609	2594	1658
610	2597	1653
611	2601	1649
612	2606	1645
613	2609	1640
614	2613	1635
615	2616	1631
616	2620	1626
617	2624	1622
618	2628	1617
619	2631	1613
620	2635	1608
621	2641	1605
622	2645	1600
623	2650	1596
624	2655	1593
625	2660	1589
626	2664	1584
627	2668	1580
628	2672	1576
629	2675	1571
630	2679	1566
631	2683	1562
632	2687	1558
633	2691	1553
634	2694	1549
635	2698	1544
636	2702	1540
637	2706	1535
638	2710	1531
639	2713	1526
640	2718	1522
641	2721	1517
642	2725	1513
643	2730	1509
644	2734	1504
645	2737	1500
646	2741	1495
647	2745	1491
648	2749	1486
649	2753	1482
650	2756	1477
651	2760	1473
652	2764	1469
653	2768	1464
654	2772	1460
655	2776	1455
656	2780	1451
657	2784	1447
658	2787	1442
659	2791	1437
660	2795	1433
661	2799	1429
662	2802	1424
663	2807	1420
664	2810	1415
665	2814	1411
666	2818	1407
667	2822	1402
668	2826	1398
669	2830	1394
670	2834	1389
671	2839	1385
672	2843	1381
673	2848	1377
674	2853	1373
675	2857	1369
676	2861	1365
677	2865	1360
678	2868	1356
679	2872	1351
680	2877	1347
681	2881	1343
682	2885	1339
683	2890	1335
684	2894	1331
685	2898	1326
686	2902	1322
687	2906	1318
688	2910	1313
689	2914	1309
690	2917	1304
691	2921	1300
692	2925	1296
693	2929	1291
694	2933	1287
695	2937	1283
696	2941	1278
697	2944	1274
698	2948	1269
699	2953	1265
700	2958	1261
701	2963	1257
702	2966	1253
703	2971	1249
704	2975	1245
705	2979	1240
706	2983	1236
707	2987	1232
708	2991	1227
709	2995	1223
710	2998	1218
711	3002	1214
712	3006	1210
713	3010	1205
714	3014	1201
715	3018	1197
716	3022	1193
717	3026	1188
718	3030	1184
719	3034	1180
720	3037	1175
721	3041	1171
722	3046	1167
723	3050	1163
724	3055	1158
725	3060	1154
726	3066	1151
727	3070	1147
728	3074	1142
729	3078	1138
730	3082	1134
731	3086	1130
732	3090	1125
733	3094	1121
734	3097	1116
735	3102	1112
736	3106	1108
737	3109	1104
738	3113	1099
739	3117	1095
740	3121	1090
741	3124	1086
742	3128	1082
743	3132	1077
744	3136	1073
745	3140	1069
746	3143	1064
747	3148	1060
748	3151	1056
749	3155	1051
750	3158	1047
751	3163	1043
752	3167	1038
753	3170	1034
754	3174	1030
755	3178	1025
756	3182	1021
757	3186	1017
758	3191	1013
759	3195	1008
760	3198	1004
761	3202	1000
762	3207	996
763	3210	991
764	3214	987
765	3218	983
766	3223	979
767	3226	974
768	3231	970
769	3235	966
770	3240	962
771	3245	958
772	3250	954
773	3256	950
774	3262	947
775	3267	943
776	3274	939
777	3280	936
778	3285	932
779	3290	928
780	3296	924
781	3301	920
782	3306	916
783	3311	912
784	3315	908
785	3320	904
786	3326	900
787	3331	896
788	3336	892
789	3342	888
790	3348	884
791	3355	881
792	3362	877
793	3367	873
794	3370	869
795	3374	864
796	3378	860
797	3382	856
798	3385	851
799	3389	847
800	3393	842
801	3397	838
802	3400	834
803	3404	829
804	3408	825
805	3412	821
806	3415	816
807	3419	812
808	3423	808
809	3426	803
810	3430	799
811	3434	795
812	3438	790
813	3442	786
814	3445	782
815	3449	777
816	3453	773
817	3458	769
818	3463	765
819	3468	761
820	3475	757
821	3480	753
822	3485	749
823	3491	745
824	3496	741
825	3500	737
826	3505	733
827	3509	729
828	3514	724
829	3519	720
830	3525	716
831	3529	712
832	3534	708
833	3538	704
834	3543	700
835	3548	696
836	3554	692
837	3560	688
838	3566	684
839	3572	680
840	3577	676
841	3582	672
842	3586	667
843	3591	663
844	3596	659
845	3601	655
846	3605	651
847	3609	646
848	3613	642
849	3617	638
850	3621	634
851	3625	629
852	3629	625
853	3633	621
854	3636	616
855	3640	612
856	3644	608
857	3648	603
858	3651	599
859	3657	595
860	3661	591
861	3667	587
862	3671	582
863	3675	578
864	3679	574
865	3683	569
866	3686	565
867	3690	561
868	3695	557
869	3698	552
870	3702	548
871	3706	544
872	3710	539
873	3714	535
874	3717	531
875	3721	526
876	3725	522
877	3729	518
878	3733	513
879	3737	509
880	3741	505
881	3745	501
882	3748	496
883	3752	492
884	3756	488
885	3760	483
886	3763	479
887	3767	475
888	3771	470
889	3775	466
890	3779	462
891	3783	458
892	3787	453
893	3790	449
894	3794	445
895	3798	440
896	3802	436
897	3806	432
898	3810	428
899	3814	423
900	3818	419
901	3822	415
902	3825	410
903	3830	406
904	3834	402
905	3837	398
906	3841	393
907	3845	389
908	3848	385
909	3852	380
910	3856	376
911	3861	372
912	3865	368
913	3870	364
914	3875	360
915	3880	355
916	3884	351
917	3889	347
918	3895	343
919	3900	339
920	3905	335
921	3910	330
922	3915	326
923	3919	322
924	3924	318
925	3929	314
926	3933	309
927	3938	305
928	3943	301
929	3948	297
930	3952	292
931	3958	288
932	3963	284
933	3967	280
934	3971	276
935	3975	271
936	3980	267
937	3984	263
938	3987	259
939	3991	254
940	3995	250
941	3999	246
942	4003	241
943	4007	237
944	4011	233
945	4015	229
946	4019	224
947	4023	220
948	4027	216
949	4031	212
950	4035	207
951	4039	203
952	4042	199
953	4046	195
954	4049	190
955	4053	186
956	4057	182
957	4060	178
958	4064	173
959	4069	169
960	4074	165
961	4079	161
962	4083	156
963	4088	152
964	4092	148
965	4096	144
966	4100	139
967	4103	135
968	4107	131
969	4112	127
970	4115	122
971	4119	118
972	4123	114
973	4127	110
974	4131	105
975	4134	101
976	4138	97
977	4142	93
978	4146	88
979	4150	84
980	4153	80
981	4157	76
982	4161	71
983	4165	67
984	4169	63
985	4173	59
986	4176	55
987	4180	50
988	4184	46
989	4188	42
990	4192	38
991	4195	33
992	4199	29
993	4203	25
994	4207	21
995	4211	16
996	4215	12
997	4218	8
998	4222	4
999	4226	0
